File_Error	Corrected
spna	Sapna
SAPNA	Sapna
Sapna	Sapna
DIN	Din
dinn	Din
asmita	Asmita
asmita	Asmita
Asimta	Asmita
AASMITA	Asmita
oDst	Dost
Dost	Dost
DOST	Dost
Dosot	Dost
LASSIN	Lassin
Lassin	Lassin
KHWAAB	Khwaab
khwaaab	Khwaab
khwab	Khwaab
uemeed	Umeed
umeed	Umeed
umeedd	Umeed
ummeed	Umeed
bhagwaan	Bhagwan
Bhagwan	Bhagwan
Bhagwan	Bhagwan
Bhagwann	Bhagwan
bhaajn	Bhajan
BHHAJAN	Bhajan
BHAAJAN	Bhajan
KIRSHNNA	Krishna
Krishan	Krishnan
ShSiv	Shiv
Shiv	Shiv
HSIV	Shiv
shvi	Deshi
durga	Durga
DUURGA	Durga
Desh	Desh
desh	Desh
ddesh	Desh
pl	Dal
PAL	Dal
PAL	Dal
PRERNA	Prerna
Prerna	Prerna
PRRERNA	Prerna
pakora	Pakora
Pakora	Pakora
PAKORAA	Pakora
sukooon	Sukoon
SUUKOON	Sukoon
Durga	Durga
DURGA	Durga
DUURAG	Durga
sannjh	Saanjh
saanjhh	Saanjh
Umeded	Umeed
UMEED	Umeed
UMEED	Umeed
umeed	Umeed
Bndhan	Bandhan
bndhhan	Bandhan
Bndhann	Bandhan
Banhdan	Bandhan
Maausam	Mausam
Musamm	Mausam
baachpan	Bachpan
BACHPPAN	Bachpan
gaanesh	Ganesh
ganeshh	Ganesh
Sannata	Sannata
ASNNATA	Sannata
SANNNATA	Sannata
PATTAGYRA	Pattagyra
pattaagyra	Pattagyra
IIdli	Idli
IDLLI	Idli
duurga	Durga
durg	Durga
DRURGA	Durga
DURGA	Durga
Matrubhasha	Matrubhasha
Matrubhashaa	Matrubhasha
matrubhashaa	Matrubhasha
saanjha	Saanjha
saanjha	Saanjha
JALEBBI	Jalebi
JAELBI	Jalebi
rram	Aam
RRma	Prema
YAADEIN	Yaadein
yaadein	Yaadein
YAADEIN	Yaadein
khusih	Khushi
khushi	Khushi
KHUSHI	Khushi
asmimta	Asmita
asimtaa	Asmita
aydeinn	Yaadein
Yaadeinn	Yaadein
yaaddien	Yaadein
Roshni	Roshni
rosshni	Roshni
Rosshni	Roshni
Roshnni	Roshni
PAKKORA	Pakora
PAOKORA	Pakora
yaadein	Yaadein
yaadein	Yaadein
Yaadein	Yaadein
Haalwa	Halwa
hhalwa	Halwa
halwa	Halwa
Safar	Safar
safaar	Safar
Lassiu	Lassiu
lassiu	Lassiu
prem	Prem
PREMM	Prem
PPREM	Prem
Shhivaa	Shivaa
shhivaa	Shivaa
shiva	Shivaa
shakit	Shakti
Shakti	Shakti
shakti	Shakti
savera	Savera
SAVERA	Savera
JJANAM	Janam
janamm	Janam
JANAM	Janam
njnam	Janam
Paanii	Paani
Paani	Paani
PAAANI	Paani
sannnata	Sannata
Sannata	Sannata
snnata	Sannata
SANNATTA	Sannata
iidil	Bhindi
idli	Idli
idlli	Idli
idli	Idli
GGeetu	Geetu
GGEETU	Geetu
alloo	Dal
Aloo	Dal
lssiu	Idliu
lasssiu	Lassiu
lsasiu	Lassiu
lassiiu	Lassiu
Viirasat	Virasat
Virasatt	Virasat
