File_Error	Corrected
spna	Sapna
SAPNA	Sapna
Sapna	Sapna
DIN	Din
dinn	Din
asmita	Asmita
asmita	Asmita
Asimta	Asmita
AASMITA	Asmita
oDst	Dost
Dost	Dost
DOST	Dost
Dosot	Dost
LASSIN	Lassin
Lassin	Lassin
KHWAAB	Khwaab
khwaaab	Khwaab
khwab	Khwaab
uemeed	Umeed
umeed	Umeed
umeedd	Umeed
ummeed	Umeed
bhagwaan	Bhagwan
Bhagwan	Bhagwan
Bhagwan	Bhagwan
Bhagwann	Bhagwan
bhaajn	Paani
BHHAJAN	Bhajan
BHAAJAN	Bhajan
KIRSHNNA	Krishna
Krishan	Krishnan
ShSiv	Shiv
Shiv	Shiv
HSIV	Shiv
shvi	Shivi
durga	Durgaa
DUURGA	Durgaa
Desh	Desh
desh	Desh
ddesh	Desh
pl	Pal
PAL	Pal
PAL	Pal
PRERNA	Prerna
Prerna	Prerna
PRRERNA	Prerna
pakora	Pakora
Pakora	Pakora
PAKORAA	Pakora
sukooon	Sukoon
SUUKOON	Sukoon
Durga	Durgaa
DURGA	Durgaa
DUURAG	Durgaa
sannjh	Saanjh
saanjhh	Saanjh
Umeded	Umeedee
UMEED	Umeed
UMEED	Umeed
umeed	Umeed
Bndhan	Bandhan
bndhhan	Bandhan
Bndhann	Bandhan
Banhdan	Bandhan
Maausam	Mausam
Musamm	Mausam
baachpan	Bachpan
BACHPPAN	Bachpan
gaanesh	Ganesh
ganeshh	Ganesh
Sannata	Sannata
ASNNATA	Sannata
SANNNATA	Sannata
PATTAGYRA	Pattagyraa
pattaagyra	Pattagyraa
IIdli	Idli
IDLLI	Idli
duurga	Durgaa
durg	Durgaa
DRURGA	Durgaa
DURGA	Durgaa
Matrubhasha	Matrubhasha
Matrubhashaa	Matrubhasha
matrubhashaa	Matrubhasha
saanjha	Saanjha
saanjha	Saanjha
JALEBBI	Jalebi
JAELBI	Jalebi
rram	Ram
RRma	Ramaa
YAADEIN	Yaadein
yaadein	Yaadein
YAADEIN	Yaadein
khusih	Khushi
khushi	Khushi
KHUSHI	Khushi
asmimta	Asmita
asimtaa	Asmita
aydeinn	Yaadein
Yaadeinn	Yaadein
yaaddien	Yaadein
Roshni	Roshni
rosshni	Roshni
Rosshni	Roshni
Roshnni	Roshni
PAKKORA	Pakora
PAOKORA	Pakora
yaadein	Yaadein
yaadein	Yaadein
Yaadein	Yaadein
Haalwa	Halwa
hhalwa	Halwa
halwa	Halwa
Safar	Safar
safaar	Safar
Lassiu	Lassiu
lassiu	Lassiu
prem	Prem
PREMM	Prem
PPREM	Prem
Shhivaa	Shivaa
shhivaa	Shivaa
shiva	Shivaa
shakit	Shakti
Shakti	Shakti
shakti	Shakti
savera	Savera
SAVERA	Savera
JJANAM	Janam
janamm	Janam
JANAM	Janam
njnam	Janam
Paanii	Paani
Paani	Paani
PAAANI	Paani
sannnata	Sannata
Sannata	Sannata
snnata	Sannata
SANNATTA	Sannata
iidil	Idli
idli	Idli
idlli	Idli
idli	Idli
GGeetu	Geetu
GGEETU	Geetu
alloo	Aloo
Aloo	Aloo
lssiu	Lassiu
lasssiu	Lassiu
lsasiu	Lassiu
lassiiu	Lassiu
